utr,settled_on,entity_type,entity_id,order_id,method,gross_amount,fee,gst,net_amount
UTR2026082101,2026-08-21,payment,pay_SYN00000000245,ORD-000245,UPI,5282.50,0.00,0.00,5282.50
UTR2026082401,2026-08-24,payment,pay_SYN00000000237,ORD-000237,CARD,9156.00,183.12,32.96,8939.92
UTR2026082401,2026-08-24,payment,pay_SYN00000000239,ORD-000239,CARD,893.99,17.88,3.22,872.89
UTR2026082401,2026-08-24,payment,pay_SYN00000000243,ORD-000243,CARD,5304.25,106.09,19.10,5179.06
UTR2026082401,2026-08-24,payment,pay_SYN00000000244,ORD-000244,NETBANKING,9461.00,179.76,32.36,9248.88
UTR2026082401,2026-08-24,payment,pay_SYN00000000248,ORD-000248,UPI,676.75,0.00,0.00,676.75
UTR2026082401,2026-08-24,payment,pay_SYN00000000249,ORD-000249,UPI,3193.99,0.00,0.00,3193.99
UTR2026082401,2026-08-24,payment,pay_SYN00000000250,ORD-000250,UPI,4492.75,0.00,0.00,4492.75
UTR2026082401,2026-08-24,payment,pay_SYN00000000252,ORD-000252,UPI,5023.25,0.00,0.00,5023.25
UTR2026082401,2026-08-24,payment,pay_SYN00000000253,ORD-000253,UPI,2279.50,0.00,0.00,2279.50
UTR2026082401,2026-08-24,payment,pay_SYN00000000254,ORD-000254,UPI,4365.50,0.00,0.00,4365.50
UTR2026082401,2026-08-24,payment,pay_SYN00000000255,ORD-000255,UPI,5576.99,0.00,0.00,5576.99
UTR2026082401,2026-08-24,payment,pay_SYN00000000256,ORD-000256,UPI,6997.75,0.00,0.00,6997.75
UTR2026082401,2026-08-24,payment,pay_SYN00000000257,ORD-000257,WALLET,4490.25,89.81,16.17,4384.27
UTR2026082401,2026-08-24,payment,pay_SYN00000000258,ORD-000258,UPI,2223.25,0.00,0.00,2223.25
UTR2026082401,2026-08-24,payment,pay_SYN00000000261,ORD-000261,WALLET,4872.00,97.44,17.54,4757.02
UTR2026082401,2026-08-24,payment,pay_SYN00000000262,ORD-000262,UPI,2288.00,0.00,0.00,2288.00
UTR2026082401,2026-08-24,payment,pay_SYN00000000263,ORD-000263,UPI,2174.00,0.00,0.00,2174.00
UTR2026082401,2026-08-24,payment,pay_SYN00000000265,ORD-000265,UPI,7908.00,0.00,0.00,7908.00
UTR2026082401,2026-08-24,payment,pay_SYN00000000267,ORD-000267,UPI,6681.00,0.00,0.00,6681.00
UTR2026082401,2026-08-24,payment,pay_SYN00000000268,ORD-000268,UPI,7658.25,0.00,0.00,7658.25
UTR2026082401,2026-08-24,payment,pay_SYN00000000270,ORD-000270,UPI,8573.00,0.00,0.00,8573.00
UTR2026082401,2026-08-24,payment,pay_SYN00000000271,ORD-000271,UPI,2144.50,0.00,0.00,2144.50
UTR2026082401,2026-08-24,payment,pay_SYN00000000272,ORD-000272,WALLET,3873.75,77.48,13.95,3782.32
UTR2026082401,2026-08-24,payment,pay_SYN00000000273,ORD-000273,UPI,8447.99,0.00,0.00,8447.99
UTR2026082401,2026-08-24,payment,pay_SYN00000000276,ORD-000276,WALLET,7865.25,157.31,28.32,7679.62
UTR2026082401,2026-08-24,payment,pay_SYN00000000277,ORD-000277,UPI,3156.25,0.00,0.00,3156.25
UTR2026082401,2026-08-24,payment,pay_SYN00000000278,ORD-000278,UPI,7444.00,0.00,0.00,7444.00
UTR2026082401,2026-08-24,payment,pay_SYN00000000279,ORD-000279,UPI,3852.50,0.00,0.00,3852.50
UTR2026082401,2026-08-24,refund,rfnd_SYN0000000004,ORD-000176,CARD,-5733.75,0.00,0.00,-5733.75
UTR2026082401,2026-08-24,refund,rfnd_SYN0000000006,ORD-000194,CARD,-4294.99,0.00,0.00,-4294.99
UTR2026082501,2026-08-25,payment,pay_SYN00000000247,ORD-000247,CARD,5512.00,110.24,19.84,5381.92
UTR2026082501,2026-08-25,payment,pay_SYN00000000251,ORD-000251,CARD,6310.00,126.20,22.72,6161.08
UTR2026082501,2026-08-25,payment,pay_SYN00000000259,ORD-000259,NETBANKING,1279.00,24.30,4.37,1250.33
UTR2026082501,2026-08-25,payment,pay_SYN00000000260,ORD-000260,CARD,2277.00,45.54,8.20,2223.26
UTR2026082501,2026-08-25,payment,pay_SYN00000000264,ORD-000264,CARD,1965.75,39.32,7.08,1919.35
UTR2026082501,2026-08-25,payment,pay_SYN00000000266,ORD-000266,CARD,5797.00,115.94,20.87,5660.19
UTR2026082501,2026-08-25,payment,pay_SYN00000000269,ORD-000269,NETBANKING,7208.25,136.96,24.65,7046.64
UTR2026082501,2026-08-25,payment,pay_SYN00000000275,ORD-000275,CARD,1684.25,33.69,6.06,1644.50
UTR2026082501,2026-08-25,payment,pay_SYN00000000280,ORD-000280,UPI,1952.00,0.00,0.00,1952.00
UTR2026082501,2026-08-25,payment,pay_SYN00000000282,ORD-000282,UPI,8984.75,0.00,0.00,8984.75
UTR2026082501,2026-08-25,payment,pay_SYN00000000283,ORD-000283,UPI,2740.00,0.00,0.00,2740.00
UTR2026082501,2026-08-25,payment,pay_SYN00000000285,ORD-000285,UPI,7177.00,0.00,0.00,7177.00
UTR2026082501,2026-08-25,payment,pay_SYN00000000286,ORD-000286,UPI,3235.00,0.00,0.00,3235.00
UTR2026082601,2026-08-26,payment,pay_SYN00000000281,ORD-000281,NETBANKING,657.99,12.50,2.25,643.24
UTR2026082601,2026-08-26,payment,pay_SYN00000000287,ORD-000287,CARD,6646.50,132.93,23.93,6489.64
UTR2026082601,2026-08-26,payment,pay_SYN00000000288,ORD-000288,UPI,1966.00,0.00,0.00,1966.00
UTR2026082601,2026-08-26,payment,pay_SYN00000000290,ORD-000290,WALLET,4714.25,94.29,16.97,4602.99
UTR2026082601,2026-08-26,payment,pay_SYN00000000291,ORD-000291,UPI,5420.00,0.00,0.00,5420.00
UTR2026082601,2026-08-26,payment,pay_SYN00000000295,ORD-000295,UPI,7174.99,0.00,0.00,7174.99
UTR2026082701,2026-08-27,payment,pay_SYN00000000293,ORD-000293,CARD,551.00,11.02,1.98,538.00
UTR2026082701,2026-08-27,payment,pay_SYN00000000294,ORD-000294,CARD,9268.75,185.38,33.37,9050.00
UTR2026082701,2026-08-27,payment,pay_SYN00000000296,ORD-000296,UPI,8665.75,0.00,0.00,8665.75
UTR2026082701,2026-08-27,payment,pay_SYN00000000298,ORD-000298,UPI,4281.00,0.00,0.00,4281.00
UTR2026082801,2026-08-28,payment,pay_SYN00000000297,ORD-000297,CARD,6961.50,139.23,25.06,6797.21
UTR2026082801,2026-08-28,payment,pay_SYN00000000299,ORD-000299,CARD,6221.25,124.43,22.40,6074.42
UTR2026082801,2026-08-28,payment,pay_SYN00000000300,ORD-000300,NETBANKING,6465.00,122.84,22.11,6320.05
